# bla            bu            ag 
-0.14548900    6.70134000    5.86087000
-0.14540500    6.70000000    5.86029000
-0.12382400    6.37391000    5.71672000
-0.12321800    6.36573000    5.71304000
-0.09992400    6.10002000    5.60435000
-0.09992200    6.10000000    5.60434000
-0.07501500    5.90435000    5.57816000
-0.07484500    5.90325000    5.57826000
-0.05014500    5.77826000    5.63764000
-0.04981200    5.77708000    5.63913000
-0.02401100    5.73043000    5.79241000
-0.02352300    5.73047000    5.79565000
0.00364500    5.76957000    5.96436000
0.00380400    5.76989000    5.96522000
0.03349200    5.83592000    6.11304000
0.03467900    5.83913000    6.11929000
0.06334800    5.93913000    6.29242000
0.06446500    5.94371000    6.30000000
0.09408400    6.07826000    6.51946000
0.09437500    6.07973000    6.52174000
0.12402400    6.24348000    6.75883000
0.12427600    6.24493000    6.76087000
